id_row,time_stamp,department_,category_,machine_name,part_name,plan_,id_operator,output_,cycle_time,count_,run_,idle_,alarm_,offline_,alarm_code
1,"2025-08-16 16:03:47.57",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
2,"2025-08-16 16:03:47.57",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
3,"2025-08-16 16:03:56.91",Lathe,Machine,"Rotor TK1",089-138,0,id,1,95.00,1,0,0,0,0,0
4,"2025-08-16 16:04:15.69",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,1,0,0
5,"2025-08-16 16:04:16.63",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
6,"2025-08-16 16:04:22.61",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
7,"2025-08-16 16:04:22.61",Lathe,Machine,"Rotor TK4",2021404,0,id,1,95.00,1,0,0,0,0,0
8,"2025-08-16 16:04:23.86",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
9,"2025-08-16 16:04:56.18",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,1,0,0
10,"2025-08-16 16:04:57.36",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
11,"2025-08-16 16:05:02.77",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
12,"2025-08-16 16:05:03.77",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
13,"2025-08-16 16:05:39.73",Lathe,Machine,"Rotor TK1",089-138,0,id,1,95.00,2,0,0,0,0,0
14,"2025-08-16 16:05:58.64",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,1,0,0
15,"2025-08-16 16:05:59.54",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
16,"2025-08-16 16:06:05.14",Lathe,Machine,"Rotor TK4",2021404,0,id,1,95.00,2,0,0,0,0,0
17,"2025-08-16 16:06:05.73",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
18,"2025-08-16 16:06:06.59",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
19,"2025-08-16 16:07:24.46",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
20,"2025-08-16 16:07:24.46",Lathe,Machine,"Rotor TK1",089-138,0,id,1,95.00,3,0,0,0,0,0
21,"2025-08-16 16:07:24.46",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
22,"2025-08-16 16:07:41.45",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
23,"2025-08-16 16:07:42.35",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
24,"2025-08-16 16:07:48.06",Lathe,Machine,"Rotor TK4",2021404,0,id,1,102.92,3,0,0,0,0,0
25,"2025-08-16 16:07:48.35",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
26,"2025-08-16 16:07:49.54",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
27,"2025-08-16 16:08:22.15",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
28,"2025-08-16 16:08:23.03",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
29,"2025-08-16 16:08:28.51",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
30,"2025-08-16 16:08:29.51",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
